"3taps code","default?",,"city","state","loc_1","location 1","url","loc_2","location_2",,"Display City State","Display State"
"MSP",,,"US","minnesota","minneapolis","minneapolis / st paul","minneapolis.craigslist.org","dak","dakota/scott",,"Minneapolis/St Paul MN","Minnesota"
"MSP",,,"US","minnesota","minneapolis","minneapolis / st paul","minneapolis.craigslist.org","csw","carv/sher/wri",,"Minneapolis/St Paul MN","Minnesota"
"RST",,,"US","minnesota","rmn","rochester ","rmn.craigslist.org",,,,"Rochester MN","Minnesota"
"MNZ",,,"US","minnesota","stcloud","st cloud","stcloud.craigslist.org",,,,"St Cloud MN","Minnesota"
"GPT",,,"US","mississippi","gulfport","gulfport / biloxi","gulfport.craigslist.org",,,,"Gulfport/Biloxi MS","Mississippi"
"PIB",,,"US","mississippi","hattiesburg","hattiesburg","hattiesburg.craigslist.org",,,,"Hattiesburg MS","Mississippi"
"JAN",,,"US","mississippi","jackson","jackson","jackson.craigslist.org",,,,"Jackson MS","Mississippi"
"MSZ",,,"US","mississippi","meridian","meridian","meridian.craigslist.org",,,,"Meridian MS","Mississippi"
"MSZ",,,"US","mississippi","natchez","southwest MS","natchez.craigslist.org",,,,"Southwest MS","Mississippi"
"MSZ",,,"US","mississippi","northmiss","north mississippi","northmiss.craigslist.org",,,,"North MS","Mississippi"
"COU",,,"US","missouri","columbiamo","columbia / jeff city","columbiamo.craigslist.org",,,,"Columbia/Jeff City MO","Missouri"
"JLN",,,"US","missouri","joplin","joplin","joplin.craigslist.org",,,,"Joplin MO","Missouri"
"MCI",,,"US","missouri","kansascity","kansas city","kansascity.craigslist.org",,,,"Kansas City MO","Missouri"
"MOZ",,,"US","missouri","kirksville","kirksville","kirksville.craigslist.org",,,,"Kirksville MO","Missouri"
"MOZ",,,"US","missouri","loz","lake of the ozarks","loz.craigslist.org",,,,"Lake of the Ozarks MO","Missouri"
"CGI",,,"US","missouri","semo","southeast missouri","semo.craigslist.org",,,,"Southeast MO","Missouri"
"SGF",,,"US","missouri","springfield","springfield","springfield.craigslist.org",,,,"Springfield MO","Missouri"
"SJS",,,"US","missouri","stjoseph","st joseph","stjoseph.craigslist.org",,,,"St Joseph MO","Missouri"
"STL",,,"US","missouri","stlouis","st louis","stlouis.craigslist.org",,,,"St Louis MO","Missouri"
"BIL",,,"US","montana","billings","billings","billings.craigslist.org",,,,"Billings MT","Montana"
"MTZ",,,"US","montana","bozeman","bozeman","bozeman.craigslist.org",,,,"Bozeman MT","Montana"
"MTZ",,,"US","montana","butte","butte","butte.craigslist.org",,,,"Butte MT","Montana"
"GTF",,,"US","montana","greatfalls","great falls","greatfalls.craigslist.org",,,,"Great Falls MT","Montana"
"MTZ",,,"US","montana","helena","helena","helena.craigslist.org",,,,"Helena MT","Montana"
"MTZ",,,"US","montana","kalispell","kalispell","kalispell.craigslist.org",,,,"Kalispell MT","Montana"
"MSO",,,"US","montana","missoula","missoula","missoula.craigslist.org",,,,"Missoula MT","Montana"
"MTZ",,,"US","montana","montana","montana (old)","montana.craigslist.org",,,,"Montana (Old) MT","Montana"
"NEZ",,,"US","nebraska","grandisland","grand island","grandisland.craigslist.org",,,,"Grand Island NE","Nebraska"
"LNK",,,"US","nebraska","lincoln","lincoln","lincoln.craigslist.org",,,,"Lincoln NE","Nebraska"
"NEZ",,,"US","nebraska","northplatte","north platte","northplatte.craigslist.org",,,,"North Platte NE","Nebraska"
"OMA",,,"US","nebraska","omaha","omaha / council bluffs","omaha.craigslist.org",,,,"Omaha/Council Bluffs NE","Nebraska"
"NEZ",,,"US","nebraska","scottsbluff","scottsbluff / panhandle","scottsbluff.craigslist.org",,,,"Scottsbluff/Panhandle NE","Nebraska"
"NVZ",,,"US","nevada","elko","elko","elko.craigslist.org",,,,"Elko NV","Nevada"
"LAS",,,"US","nevada","lasvegas","las vegas","lasvegas.craigslist.org",,,,"Las Vegas NV","Nevada"
"RNO",,,"US","nevada","reno","reno / tahoe","reno.craigslist.org",,,,"Reno/Tahoe NV","Nevada"
"CNH",,,"US","new hampshire","nh","new hampshire","nh.craigslist.org",,,,"New Hampshire NH","New Hampshire"
"NJZ",,,"US","new jersey","cnj","central NJ","cnj.craigslist.org",,,,"Central NJ","New Jersey"
"NJZ",,,"US","new jersey","jerseyshore","jersey shore","jerseyshore.craigslist.org",,,,"Jersey Shore NJ","New Jersey"
"NJZ",,,"US","new jersey","newjersey","north jersey","newjersey.craigslist.org",,,,"North Jersey NJ","New Jersey"
"NJZ",,,"US","new jersey","southjersey","south jersey","southjersey.craigslist.org",,,,"South Jersey NJ","New Jersey"
"ABQ",,,"US","new mexico","albuquerque","albuquerque","albuquerque.craigslist.org",,,,"Albuquerque NM","New Mexico"
"CVN",,,"US","new mexico","clovis","clovis / portales","clovis.craigslist.org",,,,"Clovis/Portales NM","New Mexico"
"NMZ",,,"US","new mexico","farmington","farmington","farmington.craigslist.org",,,,"Farmington NM","New Mexico"
"LRU",,,"US","new mexico","lascruces","las cruces","lascruces.craigslist.org",,,,"Las Cruces NM","New Mexico"
"NMZ",,,"US","new mexico","roswell","roswell / carlsbad","roswell.craigslist.org",,,,"Roswell/Carlsbad NM","New Mexico"
"SAF",,,"US","new mexico","santafe","santa fe / taos","santafe.craigslist.org",,,,"Santa Fe/Taos NM","New Mexico"
"ALB",,,"US","new york","albany","albany","albany.craigslist.org",,,,"Albany NY","New York"
"BGM",,,"US","new york","binghamton","binghamton","binghamton.craigslist.org",,,,"Binghamton NY","New York"
"BUF",,,"US","new york","buffalo","buffalo","buffalo.craigslist.org",,,,"Buffalo NY","New York"
"NYZ",,,"US","new york","catskills","catskills","catskills.craigslist.org",,,,"Catskills NY","New York"
"NYZ",,,"US","new york","chautauqua","chautauqua","chautauqua.craigslist.org",,,,"Chautauqua NY","New York"
"ELM",,,"US","new york","elmira","elmira-corning","elmira.craigslist.org",,,,"Elmira-Corning NY","New York"
"NYZ",,,"US","new york","fingerlakes","finger lakes","fingerlakes.craigslist.org",,,,"Finger Lakes NY","New York"
"NYZ",,,"US","new york","glensfalls","glens falls","glensfalls.craigslist.org",,,,"Glens Falls NY","New York"
"NYZ",,,"US","new york","hudsonvalley","hudson valley","hudsonvalley.craigslist.org",,,,"Hudson Valley NY","New York"
"ITH",,,"US","new york","ithaca","ithaca","ithaca.craigslist.org",,,,"Ithaca NY","New York"
"NYC",,,"US","new york","longisland","long island","longisland.craigslist.org",,,,"Long Island NY","New York"
"NYC",,,"US","new york","newyork","new york city","newyork.craigslist.org","mnh","manhattan",,"Fairfield Co CT","Connecticut"
"NYC",,,"US","new york","newyork","new york city","newyork.craigslist.org","brk","brooklyn",,"Fairfield Co CT","Connecticut"
"NYC",,,"US","new york","newyork","new york city","newyork.craigslist.org","que","queens",,"Fairfield Co CT","Connecticut"
"NYC",,,"US","new york","newyork","new york city","newyork.craigslist.org","brx","bronx",,"Fairfield Co CT","Connecticut"
"NYC",,,"US","new york","newyork","new york city","newyork.craigslist.org","stn","staten island",,"Fairfield Co CT","Connecticut"
"NYC",,,"US","new york","newyork","new york city","newyork.craigslist.org","jsy","new jersey",,"Fairfield Co CT","Connecticut"
"NYC",,,"US","new york","newyork","new york city","newyork.craigslist.org","lgi","long island",,"Fairfield Co CT","Connecticut"
"NYC",,,"US","new york","newyork","new york city","newyork.craigslist.org","wch","westchester",,"Fairfield Co CT","Connecticut"
"NYC",,,"US","new york","newyork","new york city","newyork.craigslist.org","fct","fairfield",,"Fairfield Co CT","Connecticut"
"NYZ",,,"US","new york","oneonta","oneonta","oneonta.craigslist.org",,,,"Oneonta NY","New York"
"NYZ",,,"US","new york","plattsburgh","plattsburgh-adirondacks","plattsburgh.craigslist.org",,,,"Plattsburgh-Adirondacks NY","New York"
"NYZ",,,"US","new york","potsdam","potsdam-canton-massena","potsdam.craigslist.org",,,,"Potsdam-Canton-Massena NY","New York"
"ROC",,,"US","new york","rochester","rochester","rochester.craigslist.org",,,,"Rochester NY","New York"
"SYR",,,"US","new york","syracuse","syracuse","syracuse.craigslist.org",,,,"Syracuse NY","New York"
"NYZ",,,"US","new york","twintiers","twin tiers NY/PA","twintiers.craigslist.org",,,,"Twin Tiers NY/PA","New York"
"NYZ",,,"US","new york","utica","utica-rome-oneida","utica.craigslist.org",,,,"Utica-Rome-Oneida NY","New York"
"NYZ",,,"US","new york","watertown","watertown","watertown.craigslist.org",,,,"Watertown NY","New York"
"AVL",,,"US","north carolina","asheville","asheville","asheville.craigslist.org",,,,"Asheville NC","N Carolina"
"NCZ",,,"US","north carolina","boone","boone","boone.craigslist.org",,,,"Boone NC","N Carolina"
"CLT",,,"US","north carolina","charlotte","charlotte","charlotte.craigslist.org",,,,"Charlotte NC","N Carolina"
"NCZ",,,"US","north carolina","eastnc","eastern NC","eastnc.craigslist.org",,,,"Eastern NC","N Carolina"
"FAY",,,"US","north carolina","fayetteville","fayetteville","fayetteville.craigslist.org",,,,"Fayetteville NC","N Carolina"
"GSO","default",,"US","north carolina","greensboro","greensboro","greensboro.craigslist.org",,,,"Greensboro NC","N Carolina"
"HKY",,,"US","north carolina","hickory","hickory / lenoir","hickory.craigslist.org",,,,"Hickory/Lenoir NC","N Carolina"
"OAJ",,,"US","north carolina","onslow","jacksonville ","onslow.craigslist.org",,,,"Jacksonville NC","N Carolina"
"NCZ",,,"US","north carolina","outerbanks","outer banks","outerbanks.craigslist.org",,,,"Outer Banks NC","N Carolina"
"RDU",,,"US","north carolina","raleigh","raleigh / durham / CH","raleigh.craigslist.org",,,,"Raleigh/Durham/CH NC","N Carolina"
"ILM",,,"US","north carolina","wilmington","wilmington","wilmington.craigslist.org",,,,"Wilmington NC","N Carolina"
"GSO",,,"US","north carolina","winstonsalem","winston-salem","winstonsalem.craigslist.org",,,,"Winston-Salem NC","N Carolina"
"BIS",,,"US","north dakota","bismarck","bismarck","bismarck.craigslist.org",,,,"Bismarck ND","North Dakota"
"FAR",,,"US","north dakota","fargo","fargo / moorhead","fargo.craigslist.org",,,,"Fargo/Moorhead MN","Minnesota"
"GFK",,,"US","north dakota","grandforks","grand forks","grandforks.craigslist.org",,,,"Grand Forks ND","North Dakota"
"NDZ",,,"US","north dakota","nd","north dakota","nd.craigslist.org",,,,"North Dakota ND","North Dakota"
"CAK",,,"US","ohio","akroncanton","akron / canton","akroncanton.craigslist.org",,,,"Akron/Canton OH","Ohio"
"OHZ",,,"US","ohio","ashtabula","ashtabula","ashtabula.craigslist.org",,,,"Ashtabula OH","Ohio"
"OHZ",,,"US","ohio","athensohio","athens ","athensohio.craigslist.org",,,,"Athens OH","Ohio"
"OHZ",,,"US","ohio","chillicothe","chillicothe","chillicothe.craigslist.org",,,,"Chillicothe OH","Ohio"
"CIN",,,"US","ohio","cincinnati","cincinnati","cincinnati.craigslist.org",,,,"Cincinnati OH","Ohio"
"CLE",,,"US","ohio","cleveland","cleveland","cleveland.craigslist.org",,,,"Cleveland OH","Ohio"
"CMH",,,"US","ohio","columbus","columbus","columbus.craigslist.org",,,,"Columbus OH","Ohio"
"DAY",,,"US","ohio","dayton","dayton / springfield","dayton.craigslist.org",,,,"Dayton/Springfield OH","Ohio"
"FDY",,,"US","ohio","limaohio","lima / findlay","limaohio.craigslist.org",,,,"Lima/Findlay OH","Ohio"
"MFD","default",,"US","ohio","mansfield","mansfield","mansfield.craigslist.org",,,,"Mansfield OH","Ohio"
"OHZ",,,"US","ohio","sandusky","sandusky","sandusky.craigslist.org",,,,"Sandusky OH","Ohio"
"TOL",,,"US","ohio","toledo","toledo","toledo.craigslist.org",,,,"Toledo OH","Ohio"
"OHZ",,,"US","ohio","tuscarawas","tuscarawas co","tuscarawas.craigslist.org",,,,"Tuscarawas Co OH","Ohio"
"YNG",,,"US","ohio","youngstown","youngstown","youngstown.craigslist.org",,,,"Youngstown OH","Ohio"
"OHZ",,,"US","ohio","zanesville","zanesville / cambridge","zanesville.craigslist.org",,,,"Zanesville/Cambridge OH","Ohio"
"OKZ",,,"US","oklahoma","enid","northwest OK","enid.craigslist.org",,,,"Northwest OK","Oklahoma"
"LAW",,,"US","oklahoma","lawton","lawton","lawton.craigslist.org",,,,"Lawton OK","Oklahoma"
"OKC",,,"US","oklahoma","oklahomacity","oklahoma city","oklahomacity.craigslist.org",,,,"Oklahoma City OK","Oklahoma"
"OKZ",,,"US","oklahoma","stillwater","stillwater","stillwater.craigslist.org",,,,"Stillwater OK","Oklahoma"
"TUL",,,"US","oklahoma","tulsa","tulsa","tulsa.craigslist.org",,,,"Tulsa OK","Oklahoma"
"RDM",,,"US","oregon","bend","bend","bend.craigslist.org",,,,"Bend OR","Oregon"
"CVO","default",,"US","oregon","corvallis","corvallis/albany","corvallis.craigslist.org",,,,"Corvallis/Albany OR","Oregon"
"ORZ",,,"US","oregon","eastoregon","east oregon","eastoregon.craigslist.org",,,,"East Oregon OR","Oregon"
"EUG",,,"US","oregon","eugene","eugene","eugene.craigslist.org",,,,"Eugene OR","Oregon"
"ORZ",,,"US","oregon","klamath","klamath falls","klamath.craigslist.org",,,,"Klamath Falls OR","Oregon"
"MFR",,,"US","oregon","medford","medford-ashland","medford.craigslist.org",,,,"Medford-Ashland OR","Oregon"
"ORZ",,,"US","oregon","oregoncoast","oregon coast","oregoncoast.craigslist.org",,,,"Oregon Coast OR","Oregon"
"PDX",,,"US","oregon","portland","portland","portland.craigslist.org","mlt","multnomah co",,"Portland OR","Oregon"
"PDX",,,"US","oregon","portland","portland","portland.craigslist.org","wsc","washington co",,"Portland OR","Oregon"
"PDX",,,"US","oregon","portland","portland","portland.craigslist.org","clk","clark/cowlitz",,"Portland OR","Oregon"
"PDX",,,"US","oregon","portland","portland","portland.craigslist.org","clc","clackamas co",,"Portland OR","Oregon"
"PDX",,,"US","oregon","portland","portland","portland.craigslist.org","nco","north coast",,"Portland OR","Oregon"
"PDX",,,"US","oregon","portland","portland","portland.craigslist.org","yam","yamhill co",,"Portland OR","Oregon"
"PDX",,,"US","oregon","portland","portland","portland.craigslist.org","grg","columbia gorge",,"Portland OR","Oregon"
"ORZ",,,"US","oregon","roseburg","roseburg","roseburg.craigslist.org",,,,"Roseburg OR","Oregon"
"CVO",,,"US","oregon","salem","salem","salem.craigslist.org",,,,"Salem OR","Oregon"
"ABE",,,"US","pennsylvania","allentown","lehigh valley","allentown.craigslist.org",,,,"Lehigh Valley PA","Pennsylvania"
"AOO",,,"US","pennsylvania","altoona","altoona-johnstown","altoona.craigslist.org",,,,"Altoona-Johnstown PA","Pennsylvania"
"PAZ",,,"US","pennsylvania","chambersburg","cumberland valley","chambersburg.craigslist.org",,,,"Cumberland Valley PA","Pennsylvania"
"ERE",,,"US","pennsylvania","erie","erie","erie.craigslist.org",,,,"Erie PA","Pennsylvania"
"HAR",,,"US","pennsylvania","harrisburg","harrisburg","harrisburg.craigslist.org",,,,"Harrisburg PA","Pennsylvania"
"LNS",,,"US","pennsylvania","lancaster","lancaster","lancaster.craigslist.org",,,,"Lancaster PA","Pennsylvania"
"PAZ",,,"US","pennsylvania","meadville","meadville","meadville.craigslist.org",,,,"Meadville PA","Pennsylvania"
"SCE",,,"US","pennsylvania","pennstate","state college","pennstate.craigslist.org",,,,"State College PA","Pennsylvania"
"PHL",,,"US","pennsylvania","philadelphia","philadelphia","philadelphia.craigslist.org",,,,"Philadelphia PA","Pennsylvania"
"PIT",,,"US","pennsylvania","pittsburgh","pittsburgh","pittsburgh.craigslist.org",,,,"Pittsburgh PA","Pennsylvania"
"PAZ",,,"US","pennsylvania","poconos","poconos","poconos.craigslist.org",,,,"Poconos PA","Pennsylvania"
"PAZ",,,"US","pennsylvania","reading","reading","reading.craigslist.org",,,,"Reading PA","Pennsylvania"
"AVP",,,"US","pennsylvania","scranton","scranton / wilkes-barre","scranton.craigslist.org",,,,"Scranton/Wilkes-Barre PA","Pennsylvania"
"IPT",,,"US","pennsylvania","williamsport","williamsport","williamsport.craigslist.org",,,,"Williamsport PA","Pennsylvania"
"PAZ",,,"US","pennsylvania","york","york","york.craigslist.org",,,,"York PA","Pennsylvania"
"PVD",,,"US","rhode island","providence","rhode island","providence.craigslist.org",,,,"Rhode Island RI","Rhode Island"
"CHS",,,"US","south carolina","charleston","charleston","charleston.craigslist.org",,,,"Charleston SC","S Carolina"
"CAE",,,"US","south carolina","columbia","columbia","columbia.craigslist.org",,,,"Columbia SC","S Carolina"
"FLO",,,"US","south carolina","florencesc","florence","florencesc.craigslist.org",,,,"Florence SC","S Carolina"
"SCZ",,,"US","south carolina","greenville","greenville / upstate","greenville.craigslist.org",,,,"Greenville/Upstate SC","S Carolina"
"SCZ",,,"US","south carolina","hiltonhead","hilton head","hiltonhead.craigslist.org",,,,"Hilton Head SC","S Carolina"
"MYR",,,"US","south carolina","myrtlebeach","myrtle beach","myrtlebeach.craigslist.org",,,,"Myrtle Beach SC","S Carolina"
"SDZ",,,"US","south dakota","csd","pierre / central SD","csd.craigslist.org",,,,"Pierre/Central SD","South Dakota"
"SDZ",,,"US","south dakota","nesd","northeast SD","nesd.craigslist.org",,,,"Northeast SD","South Dakota"
"RAP",,,"US","south dakota","rapidcity","rapid city / west SD","rapidcity.craigslist.org",,,,"Rapid City/West SD","South Dakota"
"SDZ",,,"US","south dakota","sd","south dakota","sd.craigslist.org",,,,"South Dakota SD","South Dakota"
"FSD",,,"US","south dakota","siouxfalls","sioux falls / SE SD","siouxfalls.craigslist.org",,,,"Sioux Falls/SE SD","South Dakota"
"CHA",,,"US","tennessee","chattanooga","chattanooga","chattanooga.craigslist.org",,,,"Chattanooga TN","Tennessee"
"CKV",,,"US","tennessee","clarksville","clarksville","clarksville.craigslist.org",,,,"Clarksville TN","Tennessee"
"TNZ",,,"US","tennessee","cookeville","cookeville","cookeville.craigslist.org",,,,"Cookeville TN","Tennessee"
"MKL",,,"US","tennessee","jacksontn","jackson  ","jacksontn.craigslist.org",,,,"Jackson TN","Tennessee"
"TYS",,,"US","tennessee","knoxville","knoxville","knoxville.craigslist.org",,,,"Knoxville TN","Tennessee"
"MEM",,,"US","tennessee","memphis","memphis","memphis.craigslist.org",,,,"Memphis TN","Tennessee"
"BNA",,,"US","tennessee","nashville","nashville","nashville.craigslist.org",,,,"Nashville TN","Tennessee"
"TRI",,,"US","tennessee","tricities","tri-cities","tricities.craigslist.org",,,,"Tri-Cities TN","Tennessee"
"ABI",,,"US","texas","abilene","abilene","abilene.craigslist.org",,,,"Abilene TX","Texas"
"AMA",,,"US","texas","amarillo","amarillo","amarillo.craigslist.org",,,,"Amarillo TX","Texas"
"ATN","default",,"US","texas","austin","austin","austin.craigslist.org",,,,"Austin TX","Texas"
"BPT",,,"US","texas","beaumont","beaumont / port arthur","beaumont.craigslist.org",,,,"Beaumont/Port Arthur TX","Texas"
"TXZ",,,"US","texas","bigbend","southwest TX","bigbend.craigslist.org",,,,"Southwest TX","Texas"
"BRO",,,"US","texas","brownsville","brownsville","brownsville.craigslist.org",,,,"Brownsville TX","Texas"
"CLL",,,"US","texas","collegestation","college station","collegestation.craigslist.org",,,,"College Station TX","Texas"
"CRP",,,"US","texas","corpuschristi","corpus christi","corpuschristi.craigslist.org",,,,"Corpus Christi TX","Texas"
"DFW",,,"US","texas","dallas","dallas / fort worth","dallas.craigslist.org","dal","dallas",,"Dallas/Fort Worth TX","Texas"
"DFW",,,"US","texas","dallas","dallas / fort worth","dallas.craigslist.org","ftw","fort worth",,"Dallas/Fort Worth TX","Texas"
"DFW",,,"US","texas","dallas","dallas / fort worth","dallas.craigslist.org","mdf","mid cities",,"Dallas/Fort Worth TX","Texas"
"DFW",,,"US","texas","dallas","dallas / fort worth","dallas.craigslist.org","ndf","north DFW",,"Dallas/Fort Worth TX","Texas"
"DFW",,,"US","texas","dallas","dallas / fort worth","dallas.craigslist.org","sdf","south DFW",,"Dallas/Fort Worth TX","Texas"
"TXZ",,,"US","texas","delrio","del rio / eagle pass","delrio.craigslist.org",,,,"Del Rio/Eagle Pass TX","Texas"
"TYR",,,"US","texas","easttexas","tyler / east TX","easttexas.craigslist.org",,,,"Tyler/East TX","Texas"
"ELP",,,"US","texas","elpaso","el paso","elpaso.craigslist.org",,,,"El Paso TX","Texas"
"HOU",,,"US","texas","galveston","galveston","galveston.craigslist.org",,,,"Galveston TX","Texas"
"HOU","default",,"US","texas","houston","houston","houston.craigslist.org",,,,"Houston TX","Texas"
"GRK",,,"US","texas","killeen","killeen / temple / ft hood","killeen.craigslist.org",,,,"Killeen/Temple/Ft Hood TX","Texas"
"LRD",,,"US","texas","laredo","laredo","laredo.craigslist.org",,,,"Laredo TX","Texas"
"LBB",,,"US","texas","lubbock","lubbock","lubbock.craigslist.org",,,,"Lubbock TX","Texas"
"MFE",,,"US","texas","mcallen","mcallen / edinburg","mcallen.craigslist.org",,,,"Mcallen/Edinburg TX","Texas"
"TXZ",,,"US","texas","nacogdoches","deep east texas","nacogdoches.craigslist.org",,,,"Deep East TX","Texas"
"MAF",,,"US","texas","odessa","odessa / midland","odessa.craigslist.org",,,,"Odessa/Midland TX","Texas"
"SJT",,,"US","texas","sanangelo","san angelo","sanangelo.craigslist.org",,,,"San Angelo TX","Texas"
"SAT",,,"US","texas","sanantonio","san antonio","sanantonio.craigslist.org",,,,"San Antonio TX","Texas"
"ATN",,,"US","texas","sanmarcos","san marcos","sanmarcos.craigslist.org",,,,"San Marcos TX","Texas"
"TXZ",,,"US","texas","texoma","texoma","texoma.craigslist.org",,,,"Texoma TX","Texas"
"VCT",,,"US","texas","victoriatx","victoria ","victoriatx.craigslist.org",,,,"Victoria TX","Texas"
"WAC",,,"US","texas","waco","waco","waco.craigslist.org",,,,"Waco TX","Texas"
"SPS",,,"US","texas","wichitafalls","wichita falls","wichitafalls.craigslist.org",,,,"Wichita Falls TX","Texas"
"UTZ",,,"US","utah","logan","logan","logan.craigslist.org",,,,"Logan UT","Utah"
"SLC",,,"US","utah","ogden","ogden-clearfield","ogden.craigslist.org",,,,"Ogden-Clearfield UT","Utah"
"PVU",,,"US","utah","provo","provo / orem","provo.craigslist.org",,,,"Provo/Orem UT","Utah"
"SLC","default",,"US","utah","saltlakecity","salt lake city","saltlakecity.craigslist.org",,,,"Salt Lake City UT","Utah"
"UTZ",,,"US","utah","stgeorge","st george","stgeorge.craigslist.org",,,,"St George UT","Utah"
"BTV",,,"US","vermont","burlington","vermont","burlington.craigslist.org",,,,"Vermont VT","Vermont"
"VAZ",,,"US","virginia","blacksburg","new river valley","blacksburg.craigslist.org",,,,"New River Valley VA","Virginia"
"CHO",,,"US","virginia","charlottesville","charlottesville","charlottesville.craigslist.org",,,,"Charlottesville VA","Virginia"
"DAN",,,"US","virginia","danville","danville","danville.craigslist.org",,,,"Danville VA","Virginia"
"VAZ",,,"US","virginia","fredericksburg","fredericksburg","fredericksburg.craigslist.org",,,,"Fredericksburg VA","Virginia"
"VAZ",,,"US","virginia","harrisonburg","harrisonburg","harrisonburg.craigslist.org",,,,"Harrisonburg VA","Virginia"
"LYH",,,"US","virginia","lynchburg","lynchburg","lynchburg.craigslist.org",,,,"Lynchburg VA","Virginia"
"VAZ",,,"US","virginia","norfolk","hampton roads","norfolk.craigslist.org",,,,"Hampton Roads VA","Virginia"
"RIC",,,"US","virginia","richmond","richmond","richmond.craigslist.org",,,,"Richmond VA","Virginia"
"ROA",,,"US","virginia","roanoke","roanoke","roanoke.craigslist.org",,,,"Roanoke VA","Virginia"
"VAZ",,,"US","virginia","swva","southwest VA","swva.craigslist.org",,,,"Southwest VA","Virginia"
"VAZ",,,"US","virginia","winchester","winchester","winchester.craigslist.org",,,,"Winchester VA","Virginia"
"BLI",,,"US","washington","bellingham","bellingham","bellingham.craigslist.org",,,,"Bellingham WA","Washington"
"PSC",,,"US","washington","kpr","kennewick-pasco-richland","kpr.craigslist.org",,,,"Kennewick-Pasco-Richland WA","Washington"
"WAZ",,,"US","washington","moseslake","moses lake","moseslake.craigslist.org",,,,"Moses Lake WA","Washington"
"WAZ",,,"US","washington","olympic","olympic peninsula","olympic.craigslist.org",,,,"Olympic Peninsula WA","Washington"
"IDZ",,,"US","washington","pullman","pullman / moscow","pullman.craigslist.org",,,,"Pullman/Moscow ID","Idaho"
"SEA",,,"US","washington","seattle","seattle-tacoma","seattle.craigslist.org","see","seattle",,"Seattle-Tacoma WA","Washington"
"SEA",,,"US","washington","seattle","seattle-tacoma","seattle.craigslist.org","est","eastside",,"Seattle-Tacoma WA","Washington"
"SEA",,,"US","washington","seattle","seattle-tacoma","seattle.craigslist.org","sno","snohomish co",,"Seattle-Tacoma WA","Washington"
"SEA",,,"US","washington","seattle","seattle-tacoma","seattle.craigslist.org","kit","kitsap co",,"Seattle-Tacoma WA","Washington"
"SEA",,,"US","washington","seattle","seattle-tacoma","seattle.craigslist.org","tac","tacoma",,"Seattle-Tacoma WA","Washington"
"SEA",,,"US","washington","seattle","seattle-tacoma","seattle.craigslist.org","oly","olympia",,"Seattle-Tacoma WA","Washington"
"SEA",,,"US","washington","seattle","seattle-tacoma","seattle.craigslist.org","skc","south king",,"Seattle-Tacoma WA","Washington"
"WAZ",,,"US","washington","skagit","skagit / island / SJI","skagit.craigslist.org",,,,"Skagit/Island/SJI WA","Washington"
"GEG",,,"US","washington","spokane","spokane / coeur d'alene","spokane.craigslist.org",,,,"Spokane/Coeur D'Alene WA","Washington"
"WAZ",,,"US","washington","wenatchee","wenatchee","wenatchee.craigslist.org",,,,"Wenatchee WA","Washington"
"YKM",,,"US","washington","yakima","yakima","yakima.craigslist.org",,,,"Yakima WA","Washington"
"CRW",,,"US","west virginia","charlestonwv","charleston ","charlestonwv.craigslist.org",,,,"Charleston WV","West Virginia"
"MFD",,,"US","west virginia","huntington","huntington-ashland","huntington.craigslist.org",,,,"Huntington-Ashland OH","Ohio"
"WVZ",,,"US","west virginia","martinsburg","eastern panhandle","martinsburg.craigslist.org",,,,"Eastern Panhandle WV","West Virginia"
"CKB",,,"US","west virginia","morgantown","morgantown","morgantown.craigslist.org",,,,"Morgantown WV","West Virginia"
"PKB",,,"US","west virginia","parkersburg","parkersburg-marietta","parkersburg.craigslist.org",,,,"Parkersburg-Marietta WV","West Virginia"
"BKW",,,"US","west virginia","swv","southern WV","swv.craigslist.org",,,,"Southern WV","West Virginia"
"HLG",,,"US","west virginia","wheeling","northern panhandle","wheeling.craigslist.org",,,,"Northern Panhandle WV","West Virginia"
"WVZ",,,"US","west virginia","wv","west virginia (old)","wv.craigslist.org",,,,"West Virginia (Old) WV","West Virginia"
"ATW",,,"US","wisconsin","appleton","appleton-oshkosh-FDL","appleton.craigslist.org",,,,"Appleton-Oshkosh-FDL WI","Wisconsin"
"EAU",,,"US","wisconsin","eauclaire","eau claire","eauclaire.craigslist.org",,,,"Eau Claire WI","Wisconsin"
"GRB",,,"US","wisconsin","greenbay","green bay","greenbay.craigslist.org",,,,"Green Bay WI","Wisconsin"
"JVL",,,"US","wisconsin","janesville","janesville","janesville.craigslist.org",,,,"Janesville WI","Wisconsin"
"LSE",,,"US","wisconsin","lacrosse","la crosse","lacrosse.craigslist.org",,,,"La Crosse WI","Wisconsin"
"MSN",,,"US","wisconsin","madison","madison","madison.craigslist.org",,,,"Madison WI","Wisconsin"
"MKE",,,"US","wisconsin","milwaukee","milwaukee","milwaukee.craigslist.org",,,,"Milwaukee WI","Wisconsin"
"WIZ",,,"US","wisconsin","northernwi","northern WI","northernwi.craigslist.org",,,,"Northern WI","Wisconsin"
"WIZ",,,"US","wisconsin","racine","kenosha-racine","racine.craigslist.org",,,,"Kenosha-Racine WI","Wisconsin"
"SBM",,,"US","wisconsin","sheboygan","sheboygan","sheboygan.craigslist.org",,,,"Sheboygan WI","Wisconsin"
"CWA",,,"US","wisconsin","wausau","wausau","wausau.craigslist.org",,,,"Wausau WI","Wisconsin"
