"3taps code","default?",,"city","state","loc_1","location 1","url","loc_2","location_2",,"Display City State","Display State",,"lat-long"
"TLH",,,"US","florida","tallahassee","tallahassee","tallahassee.craigslist.org",,,,"Tallahassee FL","Florida",,"(30.438256, -84.280733)"
"TPA",,,"US","florida","tampa","tampa bay area","tampa.craigslist.org","hdo","hernando co",,"Tampa Bay Area FL","Florida",,"(27.949436, -82.465144)"
"TPA",,,"US","florida","tampa","tampa bay area","tampa.craigslist.org","hil","hillsborough co",,"Tampa Bay Area FL","Florida",,"(27.949436, -82.465144)"
"TPA",,,"US","florida","tampa","tampa bay area","tampa.craigslist.org","psc","pasco co",,"Tampa Bay Area FL","Florida",,"(27.949436, -82.465144)"
"TPA",,,"US","florida","tampa","tampa bay area","tampa.craigslist.org","pnl","pinellas co",,"Tampa Bay Area FL","Florida",,"(27.949436, -82.465144)"
"SUA","default",,"US","florida","treasure","treasure coast","treasure.craigslist.org",,,,"Treasure Coast FL","Florida",,"(27.275833, -80.355)"
"PBI",,,"US","florida","westpalmbeach","west palm beach","westpalmbeach.craigslist.org","mdc","miami / dade",,"West Palm Beach FL","Florida",,"(26.715342, -80.053375)"
"PBI",,,"US","florida","westpalmbeach","west palm beach","westpalmbeach.craigslist.org","brw","broward county",,"West Palm Beach FL","Florida",,"(26.715342, -80.053375)"
"PBI",,,"US","florida","westpalmbeach","west palm beach","westpalmbeach.craigslist.org","pbc","palm beach co",,"West Palm Beach FL","Florida",,"(26.715342, -80.053375)"
"ABY",,,"US","georgia","albanyga","albany","albanyga.craigslist.org",,,,"Albany GA","Georgia",,"(31.578507, -84.155741)"
"AHN",,,"US","georgia","athensga","athens","athensga.craigslist.org",,,,"Athens GA","Georgia",,"(33.955802, -83.382366)"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","atl","atlanta",,"Atlanta GA","Georgia",,"(33.748995, -84.387982)"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","nat","otp north",,"Atlanta GA","Georgia",,"(33.748995, -84.387982)"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","eat","otp east",,"Atlanta GA","Georgia",,"(33.748995, -84.387982)"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","sat","otp south",,"Atlanta GA","Georgia",,"(33.748995, -84.387982)"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","wat","otp west",,"Atlanta GA","Georgia",,"(33.748995, -84.387982)"
"AGS",,,"US","georgia","augusta","augusta","augusta.craigslist.org",,,,"Augusta GA","Georgia",,"(33.474246, -82.00967)"
"GAZ",,,"US","georgia","brunswick","brunswick","brunswick.craigslist.org",,,,"Brunswick GA","Georgia",,"(31.149953, -81.491489)"
"CSG",,,"US","georgia","columbusga","columbus","columbusga.craigslist.org",,,,"Columbus GA","Alabama",,"(33.509851, -82.25833)"
"MCN",,,"US","georgia","macon","macon / warner robins","macon.craigslist.org",,,,"Macon/Warner Robins GA","Georgia",,"(33.509851, -82.25833)"
